1133062682 R03-M1-NF J07-U01  machine check interrupt (bit=0x10): L2 dcache unit read return parity error
1133062683 R03-M1-NF J07-U01  instruction address: 0x002a2560
1133062683 R03-M1-NF J07-U01  Machine Check Status Register: 0xa0000000
1133062683 R03-M1-NF J07-U01  machine check summary.............1
1133062683 R03-M1-NF J07-U01  instruction plb error.............0
1133062683 R03-M1-NF J07-U01  data read plb error...............1
1133062683 R03-M1-NF J07-U01  data write plb error..............0
1133062683 R03-M1-NF J07-U01  tlb error.........................0
1133062684 R03-M1-NF J07-U01  i-cache parity error..............0
1133062684 R03-M1-NF J07-U01  d-cache search parity error.......0
1133062684 R03-M1-NF J07-U01  d-cache flush parity error........0
1133062684 R03-M1-NF J07-U01  imprecise machine check...........0
1133062684 R03-M1-NF J07-U01  Machine State Register: 0x0002f900
1133062684 R03-M1-NF J07-U01  wait state enable.................0
1133062684 R03-M1-NF J07-U01  critical input interrupt enable...1
1133062685 R03-M1-NF J07-U01  external input interrupt enable...1
1133062685 R03-M1-NF J07-U01  problem state (0=sup,1=usr).......1
1133062685 R03-M1-NF J07-U01  floating point instr. enabled.....1
1133062685 R03-M1-NF J07-U01  machine check enable..............1
1133062685 R03-M1-NF J07-U01  floating pt ex mode 0 enable......1
1133062685 R03-M1-NF J07-U01  debug wait enable.................0
1133062685 R03-M1-NF J07-U01  debug interrupt enable............0
1133062686 R03-M1-NF J07-U01  floating pt ex mode 1 enable......1
1133062686 R03-M1-NF J07-U01  instruction address space.........0
1133062686 R03-M1-NF J07-U01  data address space................0
1133062686 R03-M1-NF J07-U01  Core Configuration Register 0: 0x00002000
1133062686 R03-M1-NF J07-U01  disable store gathering..................0
1133062686 R03-M1-NF J07-U01  disable apu instruction broadcast........0
1133062687 R03-M1-NF J07-U01  disable trace broadcast..................0
1133062687 R03-M1-NF J07-U01  guaranteed instruction cache block touch.0
1133062687 R03-M1-NF J07-U01  guaranteed data cache block touch........1
1133062687 R03-M1-NF J07-U01  force load/store alignment...............0
1133062687 R03-M1-NF J07-U01  icache prefetch depth....................0
1133062687 R03-M1-NF J07-U01  icache prefetch threshold................0
1133062688 R03-M1-NF J07-U01  General Purpose Registers:
1133062688 R03-M1-NF J07-U01  r00=0x00000000 r01=0x0ffe82b0 r02=0x1eeeeeee r03=0x0ffea4c8
1133062688 R03-M1-NF J07-U01  r04=0x00000000 r05=0x24404844 r06=0x0029fcac r07=0x000161c0
1133062688 R03-M1-NF J07-U01  r08=0x00ed4920 r09=0x00000000 r10=0x003b0000 r11=0x00ed4920
1133062688 R03-M1-NF J07-U01  r12=0x00398958 r13=0x1eeeeeee r14=0x00000000 r15=0x00000008
1133062688 R03-M1-NF J07-U01  r16=0x00000063 r17=0x000000bb r18=0x00000018 r19=0x00ed4920
1133062688 R03-M1-NF J07-U01  r20=0x40000000 r21=0x40000000 r22=0xffffd000 r23=0x0ffea5c8
1133062689 R03-M1-NF J07-U01  r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000
1133062689 R03-M1-NF J07-U01  r28=0x004c9870 r29=0xd0001080 r30=0x00000078 r31=0x00000000
1133062689 R03-M1-NF J07-U01  Special Purpose Registers:
1133062689 R03-M1-NF J07-U01  lr=0x0029fcac cr=0x24424842 xer=0x20000002 ctr=0x002701f8
1133062689 R03-M1-NF J07-U01  msr=0x0002f900 dear=0x00000000 esr=0x00000000 fpscr=0x86004000
1133062689 R03-M1-NF J07-U01  dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x00002000
1133062689 R03-M1-NF J07-U01  Floating Point Status and Control Register: 0x86004000
1133062690 R03-M1-NF J07-U01  exception summary........................1
1133062690 R03-M1-NF J07-U01  enabled exception summary................0
1133062690 R03-M1-NF J07-U01  invalid operation exception summary......0
1133062690 R03-M1-NF J07-U01  overflow exception.......................0
1133062690 R03-M1-NF J07-U01  underflow exception......................0
1133062690 R03-M1-NF J07-U01  divide-by-zero exception.................1
1133062690 R03-M1-NF J07-U01  inexact exception........................1
1133062691 R03-M1-NF J07-U01  invalid (SNAN)...........................0
1133062691 R03-M1-NF J07-U01  invalid (Inf-Inf)........................0
1133062691 R03-M1-NF J07-U01  invalid (Inf/Inf)........................0
1133062691 R03-M1-NF J07-U01  invalid (Zero/Zero)......................0
1133062691 R03-M1-NF J07-U01  invalid (Inf/Zero).......................0
1133062691 R03-M1-NF J07-U01  invalid (compare)........................0
1133062692 R03-M1-NF J07-U01  fraction rounded.........................0
1133062692 R03-M1-NF J07-U01  fraction inexact.........................0
