1133306715 R67-M1-N9 J09-U01  machine check interrupt (bit=0x06): L3 major internal error
1133306716 R67-M1-N9 J09-U01  instruction address: 0x0000add0
1133306716 R67-M1-N9 J09-U01  Machine Check Status Register: 0xa0000000
1133306716 R67-M1-N9 J09-U01  machine check summary.............1
1133306716 R67-M1-N9 J09-U01  instruction plb error.............0
1133306716 R67-M1-N9 J09-U01  data read plb error...............1
1133306716 R67-M1-N9 J09-U01  data write plb error..............0
1133306717 R67-M1-N9 J09-U01  tlb error.........................0
1133306717 R67-M1-N9 J09-U01  i-cache parity error..............0
1133306717 R67-M1-N9 J09-U01  d-cache search parity error.......0
1133306717 R67-M1-N9 J09-U01  d-cache flush parity error........0
1133306717 R67-M1-N9 J09-U01  imprecise machine check...........0
1133306717 R67-M1-N9 J09-U01  Machine State Register: 0x00003000
1133306717 R67-M1-N9 J09-U01  wait state enable.................0
1133306718 R67-M1-N9 J09-U01  critical input interrupt enable...0
1133306718 R67-M1-N9 J09-U01  external input interrupt enable...0
1133306718 R67-M1-N9 J09-U01  problem state (0=sup,1=usr).......0
1133306718 R67-M1-N9 J09-U01  floating point instr. enabled.....1
1133306718 R67-M1-N9 J09-U01  machine check enable..............1
1133306718 R67-M1-N9 J09-U01  floating pt ex mode 0 enable......0
1133306718 R67-M1-N9 J09-U01  debug wait enable.................0
1133306719 R67-M1-N9 J09-U01  debug interrupt enable............0
1133306719 R67-M1-N9 J09-U01  floating pt ex mode 1 enable......0
1133306719 R67-M1-N9 J09-U01  instruction address space.........0
1133306719 R67-M1-N9 J09-U01  data address space................0
1133306720 R67-M1-N9 J09-U01  Core Configuration Register 0: 0x00002000
1133306720 R67-M1-N9 J09-U01  disable store gathering..................0
1133306720 R67-M1-N9 J09-U01  disable apu instruction broadcast........0
1133306720 R67-M1-N9 J09-U01  disable trace broadcast..................0
1133306720 R67-M1-N9 J09-U01  guaranteed instruction cache block touch.0
1133306720 R67-M1-N9 J09-U01  guaranteed data cache block touch........1
1133306720 R67-M1-N9 J09-U01  force load/store alignment...............0
1133306721 R67-M1-N9 J09-U01  icache prefetch depth....................0
1133306721 R67-M1-N9 J09-U01  icache prefetch threshold................0
1133306721 R67-M1-N9 J09-U01  L3 global control register: 0x001249f0
1133306721 R67-M1-N9 J09-U01  start initialization.....................0
1133306721 R67-M1-N9 J09-U01  start retagging..........................0
1133306721 R67-M1-N9 J09-U01  start flushing...........................0
1133306721 R67-M1-N9 J09-U01  start prefetching........................0
1133306721 R67-M1-N9 J09-U01  disable speculative access...............0
1133306722 R67-M1-N9 J09-U01  close EDRAM pages as soon as possible....0
1133306722 R67-M1-N9 J09-U01  size of scratchpad portion of L3.........0 (0M)
1133306722 R67-M1-N9 J09-U01  disable all access to cache directory....0
1133306722 R67-M1-N9 J09-U01  write buffer commit threshold............2
1133306722 R67-M1-N9 J09-U01  size of DDR we are caching...............1 (512M)
1133306722 R67-M1-N9 J09-U01  prefetch depth for core 0................1
1133306722 R67-M1-N9 J09-U01  prefetch depth for core 1................1
1133306723 R67-M1-N9 J09-U01  prefetch depth for PLB slave.............1
1133306723 R67-M1-N9 J09-U01  max number of outstanding prefetches.....7
1133306723 R67-M1-N9 J09-U01  turn on hidden refreshes.................1
1133306723 R67-M1-N9 J09-U01  disable write lines 2:4..................0
1133306723 R67-M1-N9 J09-U01  L3 ecc control register: 00000000
1133306723 R67-M1-N9 J09-U01  capture first directory correctable error address..0
1133306724 R67-M1-N9 J09-U01  capture first directory uncorrectable error address..0
1133306724 R67-M1-N9 J09-U01  capture first EDRAM correctable error address..0
1133306725 R67-M1-N9 J09-U01  capture first EDRAM uncorrectable error address..0
1133306725 R67-M1-N9 J09-U01  capture first EDRAM parity error address..0
1133306725 R67-M1-N9 J09-U01  capture first DDR uncorrectable error address..0
1133306725 R67-M1-N9 J09-U01  disable flagging of DDR UE's as major internal error.0
1133306725 R67-M1-N9 J09-U01  L3 ecc status register: 00200000
1133306725 R67-M1-N9 J09-U01  correctable error detected in directory 0......0
1133306725 R67-M1-N9 J09-U01  correctable error detected in directory 1......0
1133306726 R67-M1-N9 J09-U01  uncorrectable error detected in directory 0....0
1133306726 R67-M1-N9 J09-U01  uncorrectable error detected in directory 1....0
1133306726 R67-M1-N9 J09-U01  correctable error detected in EDRAM bank 0.....0
1133306726 R67-M1-N9 J09-U01  correctable error detected in EDRAM bank 1.....0
1133306726 R67-M1-N9 J09-U01  uncorrectable error detected in EDRAM bank 0...0
1133306726 R67-M1-N9 J09-U01  uncorrectable error detected in EDRAM bank 1...0
1133306726 R67-M1-N9 J09-U01  parity error in bank 0.........................0
1133306727 R67-M1-N9 J09-U01  parity error in bank 1.........................0
1133306727 R67-M1-N9 J09-U01  uncorrectable error detected in external DDR...1
1133306727 R67-M1-N9 J09-U01  parity error in read queue 0...................0
1133306727 R67-M1-N9 J09-U01  parity error in read queue 1...................0
1133306727 R67-M1-N9 J09-U01  parity error in read queue PLB.................0
1133306727 R67-M1-N9 J09-U01  parity error in write buffer...................0
1133306727 R67-M1-N9 J09-U01  number of correctable errors detected in L3 directories...0
