1135517266 R60-M1-NC J05-U11  machine check interrupt (bit=0x1d): L2 dcache unit write data parity error
1135517267 R60-M1-NC J05-U11  instruction address: 0x00213a20
1135517267 R60-M1-NC J05-U11  Machine Check Status Register: 0x91800000
1135517267 R60-M1-NC J05-U11  machine check summary.............1
1135517267 R60-M1-NC J05-U11  instruction plb error.............0
1135517267 R60-M1-NC J05-U11  data read plb error...............0
1135517267 R60-M1-NC J05-U11  data write plb error..............1
1135517267 R60-M1-NC J05-U11  tlb error.........................0
1135517268 R60-M1-NC J05-U11  i-cache parity error..............0
1135517268 R60-M1-NC J05-U11  d-cache search parity error.......0
1135517268 R60-M1-NC J05-U11  d-cache flush parity error........1
1135517268 R60-M1-NC J05-U11  imprecise machine check...........1
1135517268 R60-M1-NC J05-U11  Machine State Register: 0x0002f900
1135517268 R60-M1-NC J05-U11  wait state enable.................0
1135517268 R60-M1-NC J05-U11  critical input interrupt enable...1
1135517268 R60-M1-NC J05-U11  external input interrupt enable...1
1135517269 R60-M1-NC J05-U11  problem state (0=sup,1=usr).......1
1135517269 R60-M1-NC J05-U11  floating point instr. enabled.....1
1135517269 R60-M1-NC J05-U11  machine check enable..............1
1135517269 R60-M1-NC J05-U11  floating pt ex mode 0 enable......1
1135517269 R60-M1-NC J05-U11  debug wait enable.................0
1135517269 R60-M1-NC J05-U11  debug interrupt enable............0
1135517269 R60-M1-NC J05-U11  floating pt ex mode 1 enable......1
1135517269 R60-M1-NC J05-U11  instruction address space.........0
1135517270 R60-M1-NC J05-U11  data address space................0
1135517270 R60-M1-NC J05-U11  Core Configuration Register 0: 0x00002000
1135517270 R60-M1-NC J05-U11  disable store gathering..................0
1135517270 R60-M1-NC J05-U11  disable apu instruction broadcast........0
1135517270 R60-M1-NC J05-U11  disable trace broadcast..................0
1135517270 R60-M1-NC J05-U11  guaranteed instruction cache block touch.0
1135517270 R60-M1-NC J05-U11  guaranteed data cache block touch........1
1135517271 R60-M1-NC J05-U11  force load/store alignment...............0
1135517271 R60-M1-NC J05-U11  icache prefetch depth....................0
1135517271 R60-M1-NC J05-U11  icache prefetch threshold................0
1135517271 R60-M1-NC J05-U11  General Purpose Registers:
1135517271 R60-M1-NC J05-U11  r00=0x00000279 r01=0x0ffea1c0 r02=0x1eeeeeee r03=0x000013c8
1135517271 R60-M1-NC J05-U11  r04=0x085a6ae0 r05=0x000003fe r06=0x000fff68 r07=0x3fefff68
1135517271 R60-M1-NC J05-U11  r08=0x089d85a0 r09=0x028fb5c0 r10=0x00a25be0 r11=0x00000004
1135517271 R60-M1-NC J05-U11  r12=0xffff0608 r13=0x1eeeeeee r14=0x08a93da0 r15=0x0000000c
1135517272 R60-M1-NC J05-U11  r16=0x0000046d r17=0x00a35a08 r18=0x0292b038 r19=0x089f79a0
1135517272 R60-M1-NC J05-U11  r20=0x00000002 r21=0x0000000c r22=0x00000085 r23=0x005cf7c8
1135517272 R60-M1-NC J05-U11  r24=0x005e1ec8 r25=0xe22bbe98 r26=0x085a5718 r27=0x0858dd18
1135517272 R60-M1-NC J05-U11  r28=0x003b6368 r29=0x0033a570 r30=0x0047eba0 r31=0x0a86c380
1135517272 R60-M1-NC J05-U11  Special Purpose Registers:
1135517272 R60-M1-NC J05-U11  lr=0x00213ec0 cr=0x44608482 xer=0x00000002 ctr=0x00000000
1135517273 R60-M1-NC J05-U11  msr=0x0002f900 dear=0x00000000 esr=0x00000000 fpscr=0x82004000
1135517273 R60-M1-NC J05-U11  dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x00002000
1135517273 R60-M1-NC J05-U11  Floating Point Status and Control Register: 0x82004000
1135517273 R60-M1-NC J05-U11  exception summary........................1
1135517273 R60-M1-NC J05-U11  enabled exception summary................0
1135517273 R60-M1-NC J05-U11  invalid operation exception summary......0
1135517273 R60-M1-NC J05-U11  overflow exception.......................0
1135517274 R60-M1-NC J05-U11  underflow exception......................0
1135517274 R60-M1-NC J05-U11  divide-by-zero exception.................0
1135517274 R60-M1-NC J05-U11  inexact exception........................1
