1135579620 R62-M1-NA J04-U01  machine check interrupt (bit=0x1d): L2 dcache unit write data parity error
1135579621 R62-M1-NA J04-U01  instruction address: 0x002b33a4
1135579621 R62-M1-NA J04-U01  Machine Check Status Register: 0x91800000
1135579621 R62-M1-NA J04-U01  machine check summary.............1
1135579621 R62-M1-NA J04-U01  instruction plb error.............0
1135579621 R62-M1-NA J04-U01  data read plb error...............0
1135579621 R62-M1-NA J04-U01  data write plb error..............1
1135579621 R62-M1-NA J04-U01  tlb error.........................0
1135579621 R62-M1-NA J04-U01  i-cache parity error..............0
1135579622 R62-M1-NA J04-U01  d-cache search parity error.......0
1135579622 R62-M1-NA J04-U01  d-cache flush parity error........1
1135579622 R62-M1-NA J04-U01  imprecise machine check...........1
1135579622 R62-M1-NA J04-U01  Machine State Register: 0x0002f900
1135579622 R62-M1-NA J04-U01  wait state enable.................0
1135579622 R62-M1-NA J04-U01  critical input interrupt enable...1
1135579622 R62-M1-NA J04-U01  external input interrupt enable...1
1135579622 R62-M1-NA J04-U01  problem state (0=sup,1=usr).......1
1135579623 R62-M1-NA J04-U01  floating point instr. enabled.....1
1135579623 R62-M1-NA J04-U01  machine check enable..............1
1135579623 R62-M1-NA J04-U01  floating pt ex mode 0 enable......1
1135579623 R62-M1-NA J04-U01  debug wait enable.................0
1135579623 R62-M1-NA J04-U01  debug interrupt enable............0
1135579623 R62-M1-NA J04-U01  floating pt ex mode 1 enable......1
1135579623 R62-M1-NA J04-U01  instruction address space.........0
1135579624 R62-M1-NA J04-U01  data address space................0
1135579624 R62-M1-NA J04-U01  Core Configuration Register 0: 0x00002000
1135579624 R62-M1-NA J04-U01  disable store gathering..................0
1135579624 R62-M1-NA J04-U01  disable apu instruction broadcast........0
1135579624 R62-M1-NA J04-U01  disable trace broadcast..................0
1135579624 R62-M1-NA J04-U01  guaranteed instruction cache block touch.0
1135579624 R62-M1-NA J04-U01  guaranteed data cache block touch........1
1135579624 R62-M1-NA J04-U01  force load/store alignment...............0
1135579625 R62-M1-NA J04-U01  icache prefetch depth....................0
1135579625 R62-M1-NA J04-U01  icache prefetch threshold................0
1135579625 R62-M1-NA J04-U01  General Purpose Registers:
