1129645694 R53-M1-NC J18-U01  no ethernet link
1129645767 R15-M0-N6 J15-U01  machine check interrupt (bit=0x06): L3 major internal error
1129645767 R15-M0-N6 J15-U01  instruction address: 0x0013bd30
1129645767 R15-M0-N6 J15-U01  machine check status register: 0xa0000000
1129645768 R15-M0-N6 J15-U01  summary...........................1
1129645768 R15-M0-N6 J15-U01  instruction plb error.............0
1129645768 R15-M0-N6 J15-U01  data read plb error...............1
1129645769 R15-M0-N6 J15-U01  data write plb error..............0
1129645769 R15-M0-N6 J15-U01  tlb error.........................0
1129645769 R15-M0-N6 J15-U01  i-cache parity error..............0
1129645770 R15-M0-N6 J15-U01  d-cache search parity error.......0
1129645770 R15-M0-N6 J15-U01  d-cache flush parity error........0
1129645770 R15-M0-N6 J15-U01  imprecise machine check...........0
1129645771 R15-M0-N6 J15-U01  machine state register: 0x0002f900
1129645771 R15-M0-N6 J15-U01  wait state enable.................0
1129645771 R15-M0-N6 J15-U01  critical input interrupt enable...1
1129645772 R15-M0-N6 J15-U01  external input interrupt enable...1
1129645772 R15-M0-N6 J15-U01  problem state (0=sup,1=usr).......1
1129645772 R15-M0-N6 J15-U01  floating point instr. enabled.....1
1129645773 R15-M0-N6 J15-U01  machine check enable..............1
1129645773 R15-M0-N6 J15-U01  floating pt ex mode 0 enable......1
1129645773 R15-M0-N6 J15-U01  debug wait enable.................0
1129645774 R15-M0-N6 J15-U01  debug interrupt enable............0
1129645774 R15-M0-N6 J15-U01  floating pt ex mode 1 enable......1
1129645774 R15-M0-N6 J15-U01  instruction address space.........0
1129645775 R15-M0-N6 J15-U01  data address space................0
1129645775 R15-M0-N6 J15-U01  core configuration register: 0x40002000
1129645775 R15-M0-N6 J15-U01  disable store gathering..................0
1129645775 R15-M0-N6 J15-U01  disable apu instruction broadcast........0
1129645776 R15-M0-N6 J15-U01  disable trace broadcast..................0
1129645776 R15-M0-N6 J15-U01  guaranteed instruction cache block touch.0
1129645776 R15-M0-N6 J15-U01  guaranteed data cache block touch........1
1129645777 R15-M0-N6 J15-U01  force load/store alignment...............0
1129645777 R15-M0-N6 J15-U01  icache prefetch depth....................0
1129645778 R15-M0-N6 J15-U01  icache prefetch threshold................0
1129645778 R15-M0-N6 J15-U01  L3 global control register: 0x001249f0
1129645778 R15-M0-N6 J15-U01  start initialization.....................0
1129645779 R15-M0-N6 J15-U01  start retagging..........................0
1129645779 R15-M0-N6 J15-U01  start flushing...........................0
1129645779 R15-M0-N6 J15-U01  start prefetching........................0
1129645780 R15-M0-N6 J15-U01  disable speculative access...............0
1129645780 R15-M0-N6 J15-U01  close EDRAM pages as soon as possible....0
1129645781 R15-M0-N6 J15-U01  size of scratchpad portion of L3.........0 (0M)
1129645781 R15-M0-N6 J15-U01  disable all access to cache directory....0
1129645782 R15-M0-N6 J15-U01  write buffer commit threshold............2
1129645782 R15-M0-N6 J15-U01  size of DDR we are caching...............1 (512M)
1129645782 R15-M0-N6 J15-U01  prefetch depth for core 0................1
1129645783 R15-M0-N6 J15-U01  prefetch depth for core 1................1
1129645783 R15-M0-N6 J15-U01  prefetch depth for PLB slave.............1
1129645783 R15-M0-N6 J15-U01  max number of outstanding prefetches.....7
1129645784 R15-M0-N6 J15-U01  turn on hidden refreshes.................1
1129645784 R15-M0-N6 J15-U01  disable write lines 2:4..................0
1129645784 R15-M0-N6 J15-U01  L3 ecc control register: 00000000
1129645785 R15-M0-N6 J15-U01  capture first directory correctable error address..0
1129645785 R15-M0-N6 J15-U01  capture first directory uncorrectable error address..0
1129645785 R15-M0-N6 J15-U01  capture first EDRAM correctable error address..0
1129645786 R15-M0-N6 J15-U01  capture first EDRAM uncorrectable error address..0
1129645786 R15-M0-N6 J15-U01  capture first EDRAM parity error address..0
1129645787 R15-M0-N6 J15-U01  capture first DDR uncorrectable error address..0
1129645787 R15-M0-N6 J15-U01  disable flagging of DDR UE's as major internal error.0
1129645787 R15-M0-N6 J15-U01  L3 ecc status register: 0a000000
1129645787 R15-M0-N6 J15-U01  correctable error detected in directory 0......0
1129645788 R15-M0-N6 J15-U01  correctable error detected in directory 1......0
1129645788 R15-M0-N6 J15-U01  uncorrectable error detected in directory 0....0
1129645788 R15-M0-N6 J15-U01  uncorrectable error detected in directory 1....0
1129645789 R15-M0-N6 J15-U01  correctable error detected in EDRAM bank 0.....1
1129645789 R15-M0-N6 J15-U01  correctable error detected in EDRAM bank 1.....0
1129645789 R15-M0-N6 J15-U01  uncorrectable error detected in EDRAM bank 0...1
1129645790 R15-M0-N6 J15-U01  uncorrectable error detected in EDRAM bank 1...0
1129645790 R15-M0-N6 J15-U01  parity error in bank 0.........................0
1129645790 R15-M0-N6 J15-U01  parity error in bank 1.........................0
1129645791 R15-M0-N6 J15-U01  uncorrectable error detected in external DDR...0
1129645791 R15-M0-N6 J15-U01  parity error in read queue 0...................0
1129645791 R15-M0-N6 J15-U01  parity error in read queue 1...................0
1129645791 R15-M0-N6 J15-U01  parity error in read queue PLB.................0
1129645792 R15-M0-N6 J15-U01  parity error in write buffer...................0
1129645792 R15-M0-N6 J15-U01  number of correctable errors detected in L3 directories...0
1129645792 R15-M0-N6 J15-U01  interrupt threshold...0
1129645792 R15-M0-N6 J15-U01  number of correctable errors detected in L3 EDRAMs........7
1129645793 R15-M0-N6 J15-U01  interrupt threshold...0
1129645793 R15-M0-N6 J15-U01  number of lines with parity errors written to L3 EDRAMs...0
1129645793 R15-M0-N6 J15-U01  DDR machine check register: 0x00000000 0x00000000
1129645793 R15-M0-N6 J15-U01  memory and bus summary...........................0
1129645794 R15-M0-N6 J15-U01  command manager unit summary.....................0
1129645794 R15-M0-N6 J15-U01  memory manager uncorrectable error...............0
1129645794 R15-M0-N6 J15-U01  memory manager strobe gate.......................0
1129645794 R15-M0-N6 J15-U01  memory manager address parity error..............0
1129645795 R15-M0-N6 J15-U01  memory manager miscompare........................0
1129645795 R15-M0-N6 J15-U01  memory manager address error.....................0
1129645795 R15-M0-N6 J15-U01  memory manager store buffer parity...............0
1129645795 R15-M0-N6 J15-U01  memory manager RMW buffer parity.................0
1129645796 R15-M0-N6 J15-U01  memory manager refresh...........................0
1129645796 R15-M0-N6 J15-U01  memory manager refresh counter timeout...........0
1129645796 R15-M0-N6 J15-U01  memory manager refresh contention................0
1129645796 R15-M0-N6 J15-U01  state machine....................................0
1129645797 R15-M0-N6 J15-U01  memory manager / command manager address parity..0
1129645797 R15-M0-N6 J15-U01  regctl scancom interface.........................0
