1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
1172507080 tg-c416 I-O error, dev x:x (hda), sector x
