timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1673614705688,13,HTTP Request1_small,200,OK,Thread Group 1-1,text,true,,102714,133,1,1,http://192.168.56.4/small/test_1.txt,,12,ISO-8859-1,1,0,GiuseppeW11,0,2
1673614705727,5,HTTP Request1_small,200,OK,Thread Group 1-2,text,true,,102714,133,2,2,http://192.168.56.4/small/test_1.txt,,2,ISO-8859-1,1,0,GiuseppeW11,0,1
1673614705747,3,HTTP Request3_small,200,OK,Thread Group 1-1,text,true,,102713,133,2,2,http://192.168.56.4/small/test_3.txt,,2,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614705767,5,HTTP Request3_small,200,OK,Thread Group 1-3,text,true,,102714,133,3,3,http://192.168.56.4/small/test_3.txt,,2,ISO-8859-1,1,0,GiuseppeW11,0,1
1673614705807,11,HTTP Request4_small,200,OK,Thread Group 1-4,text,true,,102714,133,4,4,http://192.168.56.4/small/test_4.txt,,8,ISO-8859-1,1,0,GiuseppeW11,0,1
1673614705846,8,HTTP Request1_small,200,OK,Thread Group 1-2,text,true,,102713,133,5,5,http://192.168.56.4/small/test_1.txt,,5,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614705847,12,HTTP Request2_small,200,OK,Thread Group 1-5,text,true,,102714,133,5,5,http://192.168.56.4/small/test_2.txt,,7,ISO-8859-1,1,0,GiuseppeW11,0,1
1673614705867,4,HTTP Request2_small,200,OK,Thread Group 1-1,text,true,,102713,133,5,5,http://192.168.56.4/small/test_2.txt,,4,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614705887,7,HTTP Request3_small,200,OK,Thread Group 1-6,text,true,,102714,133,6,6,http://192.168.56.4/small/test_3.txt,,4,ISO-8859-1,1,0,GiuseppeW11,0,1
1673614705927,5,HTTP Request1_small,200,OK,Thread Group 1-7,text,true,,102714,133,7,7,http://192.168.56.4/small/test_1.txt,,2,ISO-8859-1,1,0,GiuseppeW11,0,1
1673614705946,2,HTTP Request1_small,200,OK,Thread Group 1-3,text,true,,102713,133,7,7,http://192.168.56.4/small/test_1.txt,,2,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614705967,6,HTTP Request3_small,200,OK,Thread Group 1-8,text,true,,102714,133,8,8,http://192.168.56.4/small/test_3.txt,,4,ISO-8859-1,1,0,GiuseppeW11,0,2
1673614706008,6,HTTP Request2_small,200,OK,Thread Group 1-9,text,true,,102714,133,9,9,http://192.168.56.4/small/test_2.txt,,3,ISO-8859-1,1,0,GiuseppeW11,0,1
1673614706046,5,HTTP Request3_small,200,OK,Thread Group 1-4,text,true,,102713,133,10,10,http://192.168.56.4/small/test_3.txt,,2,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614706047,6,HTTP Request3_small,200,OK,Thread Group 1-10,text,true,,102714,133,10,10,http://192.168.56.4/small/test_3.txt,,4,ISO-8859-1,1,0,GiuseppeW11,0,2
1673614706087,6,HTTP Request4_small,200,OK,Thread Group 1-11,text,true,,102714,133,11,11,http://192.168.56.4/small/test_4.txt,,4,ISO-8859-1,1,0,GiuseppeW11,0,2
1673614706127,7,HTTP Request2_small,200,OK,Thread Group 1-12,text,true,,102714,133,12,12,http://192.168.56.4/small/test_2.txt,,3,ISO-8859-1,1,0,GiuseppeW11,0,2
1673614706147,12,HTTP Request1_small,200,OK,Thread Group 1-5,text,true,,102713,133,12,12,http://192.168.56.4/small/test_1.txt,,3,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614706147,12,HTTP Request2_small,200,OK,Thread Group 1-2,text,true,,102713,133,12,12,http://192.168.56.4/small/test_2.txt,,4,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614706167,5,HTTP Request3_small,200,OK,Thread Group 1-1,text,true,,102713,133,13,13,http://192.168.56.4/small/test_3.txt,,2,ISO-8859-1,1,0,GiuseppeW11,0,0
1673614706167,9,HTTP Request2_small,200,OK,Thread Group 1-13,text,true,,102714,133,13,13,http://192.168.56.4/small/test_2.txt,,4,ISO-8859-1,1,0,GiuseppeW11,0,2
1673614706208,6,HTTP Request1_small,200,OK,Thread Group 1-14,text,true,,102714,133,14,14,http://192.168.56.4/small/test_1.txt,,3,ISO-8859-1,1,0,GiuseppeW11,0,2
