timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Filename;Latency;Encoding;SampleCount;ErrorCount;Hostname;IdleTime;Connect
1,67363E+12;38;HTTP Request1_medium;200;OK;Thread Group 2-1;text;true;;1048874;134;1;1;http://192.168.56.4/medium/test_1.pdf;;11;ISO-8859-1;1;0;GiuseppeW11;0;2
1,67363E+12;27;HTTP Request1_medium;200;OK;Thread Group 2-1;text;true;;1048873;134;2;2;http://192.168.56.4/medium/test_1.pdf;;3;ISO-8859-1;1;0;GiuseppeW11;0;0
1,67363E+12;41;HTTP Request4_medium;200;OK;Thread Group 2-2;text;true;;1048874;134;3;3;http://192.168.56.4/medium/test_4.pdf;;15;ISO-8859-1;1;0;GiuseppeW11;0;11
1,67363E+12;23;HTTP Request1_medium;200;OK;Thread Group 2-3;text;true;;1048874;134;3;3;http://192.168.56.4/medium/test_1.pdf;;3;ISO-8859-1;1;0;GiuseppeW11;0;1
1,67363E+12;15;HTTP Request1_medium;200;OK;Thread Group 2-1;text;true;;1048873;134;3;3;http://192.168.56.4/medium/test_1.pdf;;2;ISO-8859-1;1;0;GiuseppeW11;0;0
1,67363E+12;24;HTTP Request1_medium;200;OK;Thread Group 2-2;text;true;;1048873;134;4;4;http://192.168.56.4/medium/test_1.pdf;;3;ISO-8859-1;1;0;GiuseppeW11;0;0
1,67363E+12;33;HTTP Request2_medium;200;OK;Thread Group 2-4;text;true;;1048874;134;4;4;http://192.168.56.4/medium/test_2.pdf;;9;ISO-8859-1;1;0;GiuseppeW11;0;1
1,67363E+12;21;HTTP Request4_medium;200;OK;Thread Group 2-1;text;true;;1048873;134;5;5;http://192.168.56.4/medium/test_4.pdf;;8;ISO-8859-1;1;0;GiuseppeW11;0;0
1,67363E+12;35;HTTP Request1_medium;200;OK;Thread Group 2-3;text;true;;1048873;134;5;5;http://192.168.56.4/medium/test_1.pdf;;6;ISO-8859-1;1;0;GiuseppeW11;0;0
1,67363E+12;35;HTTP Request2_medium;200;OK;Thread Group 2-5;text;true;;1048874;134;5;5;http://192.168.56.4/medium/test_2.pdf;;7;ISO-8859-1;1;0;GiuseppeW11;0;5
