timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1673601688697,2184,HTTP Request1_small3,200,OK,TG1 1-28,text,true,,102714,133,30,30,http://192.168.56.4/small/test_3.txt,,1902,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601688698,2183,HTTP Request1_small1,200,OK,TG1 1-20,text,true,,102714,133,30,30,http://192.168.56.4/small/test_1.txt,,1906,ISO-8859-1,1,0,GiuseppeW11,0,1626
1673601688697,2184,HTTP Request1_small3,200,OK,TG1 1-27,text,true,,102714,133,30,30,http://192.168.56.4/small/test_3.txt,,1920,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601688697,2184,HTTP Request1_small1,200,OK,TG1 1-7,text,true,,102714,133,30,30,http://192.168.56.4/small/test_1.txt,,1931,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601688696,2184,HTTP Request1_small3,200,OK,TG1 1-1,text,true,,102714,133,30,30,http://192.168.56.4/small/test_3.txt,,1910,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601688698,2183,HTTP Request1_small3,200,OK,TG1 1-9,text,true,,102714,133,30,30,http://192.168.56.4/small/test_3.txt,,1903,ISO-8859-1,1,0,GiuseppeW11,0,1626
1673601688697,2184,HTTP Request1_small3,200,OK,TG1 1-14,text,true,,102714,133,30,30,http://192.168.56.4/small/test_3.txt,,1917,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601688697,2184,HTTP Request1_small3,200,OK,TG1 1-21,text,true,,102714,133,30,30,http://192.168.56.4/small/test_3.txt,,1902,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601690884,95,HTTP Request1_small1,200,OK,TG1 1-20,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,63,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601690885,114,HTTP Request1_small1,200,OK,TG1 1-7,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,62,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601690884,115,HTTP Request1_small1,200,OK,TG1 1-27,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,63,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601690884,115,HTTP Request1_small1,200,OK,TG1 1-1,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,61,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688698,2305,HTTP Request1_medium3,200,OK,TG1 1-12,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_3.pdf,,1901,ISO-8859-1,1,0,GiuseppeW11,0,1626
1673601690884,119,HTTP Request1_small3,200,OK,TG1 1-14,text,true,,102713,133,30,30,http://192.168.56.4/small/test_3.txt,,61,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688697,2366,HTTP Request1_medium3,200,OK,TG1 1-6,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_3.pdf,,1902,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601688698,2411,HTTP Request1_medium3,200,OK,TG1 1-13,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_3.pdf,,1903,ISO-8859-1,1,0,GiuseppeW11,0,1626
1673601688801,2330,HTTP Request1_medium3,200,OK,TG1 1-4,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_3.pdf,,1798,ISO-8859-1,1,0,GiuseppeW11,0,1523
1673601688697,2541,HTTP Request1_medium3,200,OK,TG1 1-11,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_3.pdf,,1902,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601691132,140,HTTP Request1_small1,200,OK,TG1 1-4,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,44,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688697,2581,HTTP Request1_medium3,200,OK,TG1 1-26,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_3.pdf,,1902,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601690884,425,HTTP Request1_medium1,200,OK,TG1 1-9,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_1.pdf,,54,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688697,2623,HTTP Request1_medium2,200,OK,TG1 1-5,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_2.pdf,,1902,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601691278,60,HTTP Request1_small2,200,OK,TG1 1-26,text,true,,102713,133,30,30,http://192.168.56.4/small/test_2.txt,,13,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601691003,335,HTTP Request1_medium2,200,OK,TG1 1-12,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_2.pdf,,24,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688797,2552,HTTP Request1_medium2,200,OK,TG1 1-17,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_2.pdf,,1829,ISO-8859-1,1,0,GiuseppeW11,0,1527
1673601688697,2658,HTTP Request1_medium2,200,OK,TG1 1-30,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_2.pdf,,1918,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601690885,473,HTTP Request1_medium3,200,OK,TG1 1-28,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_3.pdf,,62,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601691355,23,HTTP Request1_small1,200,OK,TG1 1-30,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,9,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601691110,321,HTTP Request1_medium3,200,OK,TG1 1-13,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_3.pdf,,22,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688797,2637,HTTP Request1_medium2,200,OK,TG1 1-10,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_2.pdf,,1820,ISO-8859-1,1,0,GiuseppeW11,0,1527
1673601691238,212,HTTP Request1_medium3,200,OK,TG1 1-11,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_3.pdf,,13,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688698,2772,HTTP Request1_medium1,200,OK,TG1 1-22,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_1.pdf,,1903,ISO-8859-1,1,0,GiuseppeW11,0,1626
1673601688697,2794,HTTP Request1_medium1,200,OK,TG1 1-25,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_1.pdf,,1916,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601691435,71,HTTP Request1_small1,200,OK,TG1 1-10,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,35,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601691349,227,HTTP Request1_medium1,200,OK,TG1 1-17,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_1.pdf,,9,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688796,2803,HTTP Request1_medium1,200,OK,TG1 1-2,text,true,,1048874,134,30,30,http://192.168.56.4/medium/test_1.pdf,,1802,ISO-8859-1,1,0,GiuseppeW11,0,1527
1673601691492,440,HTTP Request1_medium1,200,OK,TG1 1-25,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_1.pdf,,4,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601692208,50,HTTP Request1_small2,200,OK,TG1 1-9,text,true,,102713,133,30,30,http://192.168.56.4/small/test_2.txt,,9,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601692209,53,HTTP Request1_small2,200,OK,TG1 1-20,text,true,,102713,133,30,30,http://192.168.56.4/small/test_2.txt,,8,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601692332,33,HTTP Request1_small1,200,OK,TG1 1-4,text,true,,102713,133,30,30,http://192.168.56.4/small/test_1.txt,,20,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601692207,166,HTTP Request1_medium3,200,OK,TG1 1-12,text,true,,1048873,134,30,30,http://192.168.56.4/medium/test_3.pdf,,11,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688697,3696,HTTP Request1_large1,200,OK,TG1 1-24,bin,true,,10486054,133,30,30,http://192.168.56.4/large/test_1.jpg,,1902,ISO-8859-1,1,0,GiuseppeW11,0,1627
1673601692392,24,HTTP Request1_small3,200,OK,TG1 1-24,text,true,,102713,133,30,30,http://192.168.56.4/small/test_3.txt,,14,ISO-8859-1,1,0,GiuseppeW11,0,0
1673601688696,3759,HTTP Request1_large2,200,OK,TG1 1-3,bin,true,,10486054,133,30,30,http://192.168.56.4/large/test_2.jpg,,1924,ISO-8859-1,1,0,GiuseppeW11,0,1627
