procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 515820  25252   2380 149764 2543 4815 21900  5556 1899 3430  5 51 33 11  0
 0  0 510444  19988   2512 153328 1572  184  4752   184 1122 1241  2 13 81  4  0
 2  0 508396  17896   2512 152508 3296  744  3872   744 1451 1638  1 19 73  7  0
 0  0 508908  25940   2504 145240   16  292    16   292  808  649  0 14 86  0  0
 0  0 509420  30200   2516 141980    0  532     4   596 1152  827  0 14 85  1  0
 0  0 509676  29928   2516 141400   16   60    16    60  627  458  0  7 92  1  0
 0  0 509676  29072   2516 141248    8    8     8    16  710  555  0  9 91  1  0
 2  0 509932  27832   2516 139772    0  272     0   272  863  755  0  8 92  0  0
 0  0 510188  33388   2408 137864   24  412    24   412  863  747  0 13 87  0  0
 0  0 510444  34236   2060 136392    0  260     0   340  976  716  0 11 89  0  0
 0  0 510700  37756   2036 134296   20  248    20   248  746  670  0  8 91  1  0
 0  0 510700  38528   2036 134296   40    0    40     0  678  467  0  9 90  1  0
 0  0 510700  38400   2036 134300   16    0    16     4  800  469  1  6 93  0  0
 0  0 510700  38348   2036 134300   40    0    40     0  693  437  0  9 91  1  0
 1  0 510444  35464   2044 134304   24    0    24    32  754  476  0  8 91  1  0
 0  0 510444  37888   2044 134304   24    0    24    12  397  338  0  1 98  1  0
 0  0 504812  23028   2044 141512 6460    0 11549     0 2540 3010  1 23 55 21  0
 0  0 504556  23216   2044 141512  272    0   272     0  749  580  0  7 91  2  0
 1  0 504556  23416   2044 141512    8    0     8     4  565  430  0  7 93  0  0
 0  0 504556  22060   2052 141516    0    0     0    44  372  312  0  1 99  0  0
 0  0 504556  23400   2052 141516    0    0     0    12  786  487  0  5 95  0  0
 0  0 504556  22384   2052 141532    0    0     0     0  619  406  0  7 93  1  0
 0  0 504556  22432   2052 141532    8    0     8     0  703  485  1  7 93  0  0
 0  0 504556  22388   2052 141536    0    0     0     0  766  508  0  7 93  0  0
 0  0 504556  22968   2060 141536    0    0     0    32  615  441  0  5 93  2  0
 0  0 504556  20864   2060 141540    8    0     8    12 1213  745  0 18 82  0  0
 0  0 502764  18640   2060 142036 2048    0  2544     0  771 1033  1  5 90  5  0
 1  0 502764  17404   2060 142316  208    0   488     0  776  672  0  8 91  2  0
 1  0 504556  13828   2084 144616  168 1784 13792  1784 1182 1181  1 14 80  6  0
 0  0 504556  18276   2088 143440   28   56   952   320  968  955  1 10 88  1  0
 0  0 504300  16860   2088 143492    8    0    60     0  445  437  0  2 98  1  0
 1  0 503788  17040   2248 144080  624    0  1300    92  996  905  1 11 86  3  0
 0  0 503788  15868   2248 144084    0    0     0     0  565  432  0  3 97  0  0
 2  0 503788  14368   2396 144084  176    0   324     0  901  706  0 12 87  1  0
 0  0 503788  15976   2396 144084    0    0     0    64  653  416  0  4 96  0  0
 0  0 503788  14672   2396 144084    0    0     0     4  660  534  0  5 95  0  0
 1  0 503788  15212   2404 144088    0    0     0    84  395  387  0  1 99  0  0
 0  0 503788  14964   2404 144088    8    0     8     0  818  630  0  8 92  1  0
 0  0 503788  14996   2404 144192    0    0   104     0  503  458  0  2 98  0  0
 0  0 503788  15892   2404 144196    0    0     0    12  733  513  0  8 92  0  0
 0  0 503788  15640   2404 144196    0    0     0     0  461  433  0  3 97  0  0
 1  0 503788  15044   2412 144196    8    0     8    36  937  675  0 14 85  1  0
 0  0 503788  15768   2412 144196    0    0     0     0  753  536  1  6 93  0  0
 0  0 503788  15012   2412 144200    0    0     0     0  754  551  0  4 96  0  0
 0  0 503788  15036   2412 144200    0    0     0     0  496  428  0  5 95  0  0
 0  0 503788  11492   2412 144200    4    0     4     8  780  575  1  7 93  0  0
 0  0 503788  15080   2420 144200   16    0    16    28  613  509  0  6 93  1  0
