procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 504200  15196   4308 130964 1560 2722 12944  3142 1183 1932  5 50 35 10  0
13  0 505224  22204   3480 126360 1148 1728  3732  1728 2209 2228  1 69 24  6  0
 1  0 506512  29936   3360 121760   60 1212   456  1212 1957 1967  2 62 35  0  0
 5  0 506264  38844   3248 115352 3196 2404  3324  2428 2388 2450  1 71 25  4  0
 4  0 507808  52732   3172 110620    4 1672    16  1732 2038 1639  1 64 35  0  0
 0  0 508840  56540   3160 108576    0 1056     0  1056 1785 1480  0 35 65  0  0
 1  0 510120  57892   3160 107008    0 1260     0  1260 1588 1452  1 36 64  0  0
 1  0 512176  62480   3144 104148    8 2092     8  2092 2001 1592  0 41 59  0  0
 0  0 512688  66280   3144 103532   24  396    24   396 1186  870  0 22 78  1  0
 1  0 513464  66740   3144 104168  128  916  1732   968 1433 1239  1 37 60  2  0
 0  0 514496  67856   3144 104944   60 1400  2496  1440 1795 1348  0 41 58  1  0
 0  0 515520  68608   3144 104712   56  936  1233   936 1799 1452  1 39 59  2  0
 1  0 517832  69332   3144 103356   20 2320    48  2320 1744 1298  1 45 54  0  0
 0  0 519376  76080   3112 101808    8 1672     8  1672 1552 1190  1 40 59  1  0
 1  0 520400  80128   2920 100456   16  952    16  1004 1361  972  0 26 73  1  0
 3  0 522976  73944   2708  98700    8 2488    68  2508 1446 1044  1 57 42  0  0
 0  0 525288  92220   2696  96536    4 2496   200  2512 1841 1317  0 48 52  0  0
 2  0 524520  71652   2696 104132 3512 1304 12760  1324 2675 2732  0 65 22 13  0
 2  0 524024  66360   2696 103296 3508 2060  4408  2060 2276 2109  1 67 26  6  0
 1  0 526848  75604   2628 101356   12 2920    36  2948 1863 1511  0 69 31  1  0
 0  0 529160  91804   2612  98800   36 2320    40  2320 1869 1631  0 49 51  0  0
 4  0 529936  91872   2612  99544   60 1048  2016  1048 1508 1170  1 34 64  1  0
 0  0 531984  93064   2612  97252   16 1876    16  1912 1660 1244  0 45 55  0  0
 1  0 534304  96360   2604  94232   44 2216    44  2216 1614 1283  1 37 62  0  0
 0  1 536872 101272   2588  90628   20 2752    20  2780 1939 1435  0 41 59  1  0
 0  0 537640 104336   2588  90064   32 1060    32  1060 1680 1174  0 36 63  1  0
 2  0 539952 107460   2572  88940   68 2116    80  2156 1514 1119  1 31 68  0  0
 4  0 541752 107528   2564  87980   24 1808    24  1808 1622 1308  1 32 67  1  0
 0  0 543040 112608   2532  87204   24 1384   128  1384 1506 1105  0 39 61  0  0
 2  0 544584 115608   2464  85908   40 1612    44  1660 1694 1360  0 39 60  1  0
 0  1 546640 119104   2364  83896   16 2072   192  2072 1715 1180  1 40 59  0  0
 0  0 547920 118060   2312  86264   48 1336  3704  1340 1874 1307  1 54 43  1  0
 4  0 550496 120132   2164  86708   44 2660  1940  2704 1806 1441  1 51 47  1  0
